pp,wk,ve,tot
20,1,40,120.57776013176965
20,1,41,120.60059725423774
20,1,42,120.62343437670584
20,1,43,120.64627149917395
20,1,44,120.66910862164204
20,2,0,117.65901947757528
20,2,1,117.68185660004339
20,2,2,117.70469372251148
20,2,3,117.72753084497958
20,2,4,117.75036796744769
20,2,5,117.77320508991579
20,2,6,117.7960422123839
20,2,7,117.81887933485199
20,2,8,117.84171645732009
20,2,9,117.8645535797882
20,2,10,117.88739070225628
20,2,11,117.91022782472439
20,2,12,117.93306494719249
20,2,13,117.9559020696606
20,2,14,117.97873919212869
20,2,15,118.00157631459679
20,2,16,118.0244134370649
20,2,17,118.04725055953298
20,2,18,118.07008768200109
20,2,19,118.09292480446919
20,2,20,118.1157619269373
20,2,21,118.1385990494054
20,2,22,118.16143617187349
20,2,23,118.1842732943416
20,2,24,118.2071104168097
20,2,25,118.22994753927779
20,2,26,118.25278466174589
20,2,27,118.275621784214
20,2,28,118.2984589066821
20,2,29,118.32129602915019
20,2,30,118.3441331516183
20,2,31,118.3669702740864
20,2,32,118.38980739655449
20,2,33,118.41264451902259
20,2,34,118.4354816414907
20,2,35,118.4583187639588
20,2,36,118.4811558864269
20,2,37,118.503993008895
20,2,38,118.5268301313631
20,2,39,118.5496672538312
20,2,40,118.57250437629929
20,2,41,118.5953414987674
20,2,42,118.6181786212355
20,2,43,118.6410157437036
20,2,44,118.66385286617171
20,3,0,115.65376372210494
20,3,1,115.67660084457304
20,3,2,115.69943796704113
20,3,3,115.72227508950924
20,3,4,115.74511221197734
20,3,5,115.76794933444543
20,3,6,115.79078645691354
20,3,7,115.81362357938164
20,3,8,115.83646070184975
20,3,9,115.85929782431785
20,3,10,115.88213494678594
20,3,11,115.90497206925404
20,3,12,115.92780919172213
20,3,13,115.95064631419024
20,3,14,115.97348343665834
20,3,15,115.99632055912645
20,3,16,116.01915768159455
20,3,17,116.04199480406264
20,3,18,116.06483192653074
20,3,19,116.08766904899885
20,3,20,116.11050617146694
20,3,21,116.13334329393504
20,3,22,116.15618041640315
20,3,23,116.17901753887125
20,3,24,116.20185466133935
20,3,25,116.22469178380744
20,3,26,116.24752890627555
20,3,27,116.27036602874365
20,3,28,116.29320315121174
20,3,29,116.31604027367985
20,3,30,116.33887739614795
20,3,31,116.36171451861605
20,3,32,116.38455164108414
20,3,33,116.40738876355225
